Post Name,Post type,Post Link,Last posted - social,Last posted - IG,Notes
"When Eating Kaiten Sushi, Don’t Make This Fatal Mistake",Food,https://unseen-japan.com/kaiten-sushi-faux-pas-mistake/,04/19/2026,,
The Top 5 “Solitary Gourmet” Spots in Tokyo,Food,https://unseen-japan.com/kodoku-no-gurume-top-five-tokyo-spots/,04/18/2026,,
"Pien: Its Life As Emoji, Vocabulary, and Fashion",Japanese,https://unseen-japan.com/pien-japanese-meaning-history-fashion/,04/17/2026,,
Why Some Westerners in Japan Never Learn Japanese,Essay,https://unseen-japan.com/speaking-our-language/,04/16/2026,,
The Best Onsen to Check Out While in Japan,Travel,https://unseen-japan.com/best-onsen-japan-travel-trip/,04/15/2026,,
Nevada-Tan: Japan’s Murderer Turned Internet Trend,Essay,https://unseen-japan.com/nevada-tan-updates/,04/14/2026,,No
Tasukatta! Useful Japanese Phrases When Dining Out in Japan,Food,https://unseen-japan.com/dining-out-in-japan-useful-japanese/,04/13/2026,,
"Mama, Papa: How the Japanese Words for Parents Lost Out to English",Japanese,https://unseen-japan.com/mama-papa-how-the-japanese-words-for-parents-lost-out-to-english/,04/13/2026,,
Advanced Japanese Reading Practice with Side-by-Side Readers,Japanese,https://unseen-japan.com/japanese-reading-practice-newspapers/,04/12/2026,,
Why Tourists Are Smitten with Japan’s Popular Egg Cuisine,Food,https://unseen-japan.com/japan-egg-cuisine-tourists-popular/,04/12/2026,,
These Are the Hardest Japanese Place Names to Read – Even for Native Speakers,Japanese,https://unseen-japan.com/hardest-japanese-place-names/,04/11/2026,,
Husband? Master? The Many Imperfect Words for Male Spouses in Japanese,Essay,https://unseen-japan.com/husband-or-master-the-debate-over-japanese-words-for-husband/,04/10/2026,,Yes
Kotobagari: Japan’s Hunt for Taboo Words,Japanese,https://unseen-japan.com/kotobagari-japans-hunt-for-taboo-words/,04/09/2026,,
Which Japanese Books Get Left Out of Translation?,Essay,https://unseen-japan.com/japanese-books-what-gets-translated/,04/08/2026,,
Japan’s Best Seaside Towns: Our Ranking of the Most Idyllic,Travel,https://unseen-japan.com/japans-best-seaside-towns-our-ranking-of-the-most-idyllic/,04/07/2026,,
Is Putting Wasabi in Soy Sauce Rude?,Food,https://unseen-japan.com/wasabi-soy-sauce-manners/,04/07/2026,,
Couples: Avoid Japan's Cursed Breakup Spots!,Travel,https://unseen-japan.com/couples-breakup-spots-japan/,04/06/2026,,
Ryokan vs. Hotels: Inside Japan’s Unique Accommodation Culture,Travel,https://unseen-japan.com/ryokans-vs-hotels-japan-travel/,04/05/2026,,
Melonpan: The Japan Sweet Bread’s Armenian History,Essay,https://unseen-japan.com/melonpan-armenian-history/,04/04/2026,,
What’s With the Chaos of Japanese Power Lines?,History,https://unseen-japan.com/whats-with-the-chaos-of-japanese-power-lines/,04/02/2026,,
Japanese Law Forced Me to Change My Name Three Times,Essay,https://unseen-japan.com/marriage-divorce-spousal-surnames/,04/01/2026,,
Akihabara: Why Otaku are Fleeing Tokyo’s Geektropolis,Travel,https://unseen-japan.com/akihabara-otaku-geek-flight/,03/31/2026,,
The Most Popular Castles in Japan Among Tourists,Travel,https://unseen-japan.com/top-castles-japan/,03/31/2026,,
Tourists Love These “Hidden” Travel Gems In Tokyo,Travel,https://unseen-japan.com/hidden-travel-gems-tokyo/,03/30/2026,,
The Best Places For Extended Stays In Japan,Travel,https://unseen-japan.com/the-best-places-for-extended-stays-in-japan/,03/28/2026,,
In Praise of the Japanese Toilet Seat,Essay,https://unseen-japan.com/japanese-toilet-seat-bidet/,03/27/2026,,
Fun Museums in Tokyo: 12 Exhibits Off the Beaten Path,Travel,https://unseen-japan.com/fun-museums-in-tokyo/,03/27/2026,,
The Hatsune Miku Affair: Husband “Cheats” on His Wife with Virtual Idol,Essay,https://unseen-japan.com/cheating-husband-hatsune-miku-fan-japan/,03/26/2026,,No
Why This Bookstore in Tokyo is Charging Admission,Travel,https://unseen-japan.com/tokyo-bunkitsu-bookstore-admission/,03/25/2026,,
Happy Science: Inside Japan’s Far-Right Religious Movement,Essay,https://unseen-japan.com/happy-science/,03/22/2026,,No
Don’t Abandon Your Broken Suitcase in Japan – Do This Instead,Travel,https://unseen-japan.com/broken-suitcase-disposal-japan/,03/21/2026,,
The Matchbreakers: The Scammy World of Japan’s Break-up Artists,Essay,https://unseen-japan.com/breakup-companies-wakaresaseya-japan/,03/19/2026,,Yes
"When in Japan, Avoid the Bar Barkers at All Costs",Travel,https://unseen-japan.com/japan-barkers-kabukicho-crime/,03/19/2026,,
Japan’s Love Hotels: Everything I Didn’t Know Before Having Sex in Them,Travel,https://unseen-japan.com/love-hotels-know-before-you-go/,03/17/2026,,
Tokyo’s “Cafe Refugees” Seek Seats as Remote Workers Crowd Coffee Shops,Travel,https://unseen-japan.com/tokyo-cafe-refugees-crowded/,03/16/2026,,
Five Great Japanese Mystery Writers (Who Aren’t Higashino Keigo),Essay,https://unseen-japan.com/five-japanese-mystery-writers-english/,03/14/2026,,No
Review: Emergent Tokyo - What Makes Japan's Capital so Alluring?,Travel,https://unseen-japan.com/emergent-tokyo-what-makes-japans-capital-so-alluring/,03/13/2026,,
Nerima City: What to Do in “The Birthplace of Japanese Anime”,Travel,https://unseen-japan.com/nerima-city-japanese-anime-sights/,03/12/2026,,
Why Katsuyama Is Now Japan’s New Tourism Hotspot,Travel,https://unseen-japan.com/katsuyama-tourism-hotspot-japan/,03/11/2026,,
Moga: Japan’s “Modern Girl” of the Taisho Era,Essay,https://unseen-japan.com/mobo-moga-modern-girl-taisho/,03/08/2026,,No
Japan’s Musical Roads Give Tourists a Lyrical Treat,Travel,https://unseen-japan.com/musical-roads-japan-anime/,03/07/2026,,
Senkyaku Banrai: Why This Tokyo Tourist Trap Has So Few Foreign Tourists,Travel,https://unseen-japan.com/senkyaku-banrai-toyosu-few-foreigners/,03/06/2026,,
Shimokitazawa: How Tokyo’s Funky Neighborhood Has Kept Its Cool,Travel,https://unseen-japan.com/tokyo-shimokitazawa-tourism/,03/05/2026,,
Alice in an Old Castle and Five Other Uniquely-Themed Tokyo Cafes,Travel,https://unseen-japan.com/uniquely-themed-cafes-tokyo/,03/04/2026,,
"Check Out These Delicious Cafes, Kissas, and Junkissas Around Tokyo",Travel,https://unseen-japan.com/tackling-food-kanji-in-japanese-menus/,03/03/2026,,
Hangure: A New Generation of Gangsters Takes Over Japan’s Underworld,Essay,https://unseen-japan.com/hangure-japan-yakuza/,02/28/2026,,Yes
Hidden Onsen (Hitou): Japan’s Best-Kept Secret Hot Springs,Travel,https://unseen-japan.com/hidden-onsen-japan/,02/27/2026,,
Benkei: Was Japan’s Warrior Monk Real?,Essay,https://unseen-japan.com/benkei-warrior-japan-history/,02/26/2026,,
4 Reasons to Hire a Japan Tour Guide,Travel,https://unseen-japan.com/japan-tour-guide-why-hire/,02/24/2026,,
Toyama Hopes to Become Japan’s Hot New Travel Destination,Travel,https://unseen-japan.com/toyama-new-travel-destination/,02/23/2026,,
Explore Japan’s Most Breathtaking Blue Water Spots,Travel,https://unseen-japan.com/japan-blue-water-spots-travel/,02/20/2026,,
Tsukudani: The Fishy Preserves that Saved a Shogun,Food,https://unseen-japan.com/tsukudani-the-fishy-preserves-that-saved-a-shogun/,02/20/2026,,
The Feminist Movement in Japan: Meiji to World War II,Essay,https://unseen-japan.com/feminist-movement-in-japan-meiji-wwii/,02/18/2026,,
Read Japanese Books with the Listening-Reading Method,Japanese,https://unseen-japan.com/read-japanese-books-listening-reading/,02/17/2026,,
Here Are Japan’s Top Scenic Nature Spots for Tourists,Travel,https://unseen-japan.com/japan-best-nature-spots-tourists/,02/16/2026,,
Sukyo Mahikari: Not All Harmony and Light,Essay,https://unseen-japan.com/sukyo-mahikari-japan-religion/,02/14/2026,,
Beyond Noodles: A Guide to the Different Types of Restaurants in Japan,Food,https://unseen-japan.com/japanese-restaurants-types/,02/13/2026,,
Europe in Japan?! Don’t Miss These Awesome Sightseeing Spots,Travel,https://unseen-japan.com/europe-in-japan-attractions/,02/12/2026,,
The “Gaijin Hunter” Exists – But It’s Not What You’re Expecting,Essay,https://unseen-japan.com/gaijin-hunter-fact-vs-fiction/,02/11/2026,,Yes
The Galapagos Effect: How Japan Sometimes Ends Up Standing Alone,Essay,https://unseen-japan.com/galapagos-effect-japan/,02/10/2026,,No
Art Aquarium Ginza & Other Unique Tokyo Museums,Travel,https://unseen-japan.com/art-aquarium-ginza/,02/09/2026,,
Shinjuku: Origins of the World’s Biggest Nightlife District - Part 1,Essay,https://unseen-japan.com/shinjuku-origins-of-the-worlds-biggest-nightlife-district/,02/09/2026,,
How to Ditch Duolingo and Actually Learn Japanese,Japanese,https://unseen-japan.com/learn-japanese-without-duolingo/,02/08/2026,,
The Colonization of Hokkaido: How a “Foreign” Frontier Became Japan,Essay,https://unseen-japan.com/colonization-of-hokkaido/,02/07/2026,,
Japanese Shrine Maiden School: An Inside View,Travel,https://unseen-japan.com/japanese-shrine-maiden-school/,02/06/2026,,
These Japanese Potato Chips Hospitalized Kids – So I Tried Them,Essay,https://unseen-japan.com/spicy-potato-chips-japan/,02/05/2026,,
"Anime From the Left – and From the (Far, Far) Right",Essay,https://unseen-japan.com/anime-politics-left-right/,02/04/2026,,Yes
The Surprising History Of Nagoya’s Spicy “Taiwan” Ramen,Food,https://unseen-japan.com/taiwan-ramen-nagoya-origin/,02/03/2026,,
Kanazawa: The Five Mesmerizing Landmarks You Need to See,Travel,https://unseen-japan.com/kanazawa-travel-top-five-spots/,02/02/2026,,
Kinsokuchi: Why You Can’t Enter Japan’s Forbidden Places,Travel,https://unseen-japan.com/kinsokuchi-japan-forbidden-places/,02/01/2026,,
Maid Cafes in Japan: Their History and Evolution,Travel,https://unseen-japan.com/maid-cafes-history/,01/31/2026,,
How to See Mt. Fuji (Without Climbing It),Travel,https://unseen-japan.com/mt-fuji-viewing-spots/,01/30/2026,,
Are You Eating These Japanese Foods Wrong?,Food,https://unseen-japan.com/japanese-food-etiquette-advanced-manners/,01/29/2026,,
How Did Shibuya and Shinjuku Stations Become So Hard to Navigate?,Travel,https://unseen-japan.com/shibuya-shinjuku-stations-why-complicated/,01/28/2026,12/22/2025,
Japan Travel: Eight Outdated Myths That Are Rapidly Changing,Travel,https://unseen-japan.com/japan-travel-eight-outdated-myths/,01/28/2026,,
How The Kremlin Saved Kurosawa Akira,Essay,https://unseen-japan.com/kurosawa-and-the-kremlin/,01/27/2026,,
Blood on the Snow: The Horrifying Implosion of Japan’s United Red Army,Essay,https://unseen-japan.com/united-red-army-japan/,01/26/2026,,
The Japanese Rice Cooker: A History of Trials and Errors,Food,https://unseen-japan.com/japanese-rice-cooker/,01/25/2026,,
Takoyaki: The History of Japan’s Popular Street Food,Food,https://unseen-japan.com/takoyaki-japan-history/,01/24/2026,,
"How Long Does a Japan Subway Card Last, Anyway?",Travel,https://unseen-japan.com/japan-subway-card-expiration-date/,01/23/2026,,
Japan Taxi: How to Get Around in Comfort,Travel,https://unseen-japan.com/japan-taxi-service-tourist/,01/22/2026,,
Hajichi: The Banned Traditional Tattoos of Okinawa,Essay,https://unseen-japan.com/hajichi-the-banned-traditional-tattoos-of-okinawa/,01/22/2026,,No
Bicycling in Japan: How to Travel and Sightsee on Two Wheels,Travel,https://unseen-japan.com/bicycling-in-japan-for-tourists/,01/21/2026,,
Egui: One Japanese Word’s Journey from “Awful” to “Awesome!”,Japanese,https://unseen-japan.com/egui-japanese-meaning-change/,01/20/2026,,
Yamanote Line: 10 Little-Known Facts,Travel,https://unseen-japan.com/yamanote-line-10-facts/,01/18/2026,,
Izumo Taisha: The Shrine You Must Visit At Least Once,Travel,https://unseen-japan.com/izumo-taisha-shrine-shimane-prefecture/,01/17/2026,,
Six Great Book Cafes in Tokyo to While Away Your Time,Travel,https://unseen-japan.com/book-cafes-tokyo-guide/,01/16/2026,,
Bankara: Meiji Japan’s Anti-Fashion Movement,Essay,https://unseen-japan.com/bankara-meiji-japans-anti-fashion-movement/,01/15/2026,,
You Can Write These Japanese Loan Words in Kanji (But Probably Shouldn’t),Japanese,https://unseen-japan.com/japanese-loan-words-kanji/,01/14/2026,,
The Soba Big Three: Enjoy These Regional Variations on Your Next Japan Trip,Travel,https://unseen-japan.com/soba-big-three-japan/,01/13/2026,,
Holidays in Japan: The Complete Guide,Life,https://unseen-japan.com/holidays-in-japan-complete-guide/,01/13/2026,,
Nature In Japan: Ranking Its “Greenest” Cities,Essay,https://unseen-japan.com/nature-in-japan-greenest-cities/,01/10/2026,,
Raw Eggs in Japan: Are They Safe to Eat?,Food,https://unseen-japan.com/raw-eggs-japan-safe/,01/10/2026,,
I Bought Something from Akihabara’s “Cursed” Vending Machines,Travel,https://unseen-japan.com/akihabara-cursed-weird-vending-machines/,01/10/2026,,
Mugicha: A Short History of Japanese Barley Tea,Food,https://unseen-japan.com/mugicha-japanese-barley-tea-history/,01/09/2026,,
She Searched for “Perfect Crime.” A Japanese Court Found Her Not Guilty of Murder,Essay,https://unseen-japan.com/sudo-saki-don-juan-murder/,01/08/2026,,
These Uncommon Kanji May Surprise You!,Japanese,https://unseen-japan.com/uncommon-kanji-outside-joyo-kanji/,01/07/2026,,
"""Furariimen"": The Japanese Men Who Avoid Returning from Work",Essay,https://unseen-japan.com/furarimen-japanese-men-not-returning-home/,01/07/2026,,
Boss Coffee: The History Behind the Popular Can,Food,https://unseen-japan.com/boss-coffee-japan-history/,01/06/2026,,
Kushikatsu: The Best Deep-Fried Skewers in Tokyo,Food,https://unseen-japan.com/kushikatsu-best-rated-in-japan/,01/03/2026,,
From Ninja to Ramen: Top 10 Places to Visit in Kyoto,Travel,https://unseen-japan.com/kyoto-top-10-tourist-spots/,01/02/2026,,
Your Anime is Political: The Radical Revolutions of Akira and Evangelion,Essay,https://unseen-japan.com/anime-politics-revolution-akira-eva/,01/02/2026,,
eSIM for Japan Travel: The Easy Way to Data,Travel,https://unseen-japan.com/esim-japan-travel/,12/31/2025,,
The Story of the Japanese Peruvians,Essay,https://unseen-japan.com/the-story-of-the-japanese-peruvians/,12/30/2025,,
Bikkuri Donkey: An Unfamiliar Family Restaurant Favorite,Food,https://unseen-japan.com/bikkuri-donkey-japan-restaurant-chain/,12/27/2025,,
Why The “Doggie Bag” Concept Pooped Out in Japan,Food,https://unseen-japan.com/doggie-bag-japan-food-waste/,12/26/2025,,
"Osechi Ryori: History, Meanings, and How to Prepare",Essay,https://unseen-japan.com/osechi-ryori-japan/,12/25/2025,,
New Years in Japan: Its History and Traditions,Essay,https://unseen-japan.com/japan-new-year/,12/25/2025,,
"Coffee in Japan: A Short, Tasty History",Food,https://unseen-japan.com/coffee-in-japan-a-short-tasty-history/,12/24/2025,,
Unique Japanese Food: Cuisine You’ll Only Find in Japan,Food,https://unseen-japan.com/unique-japanese-food/,12/23/2025,,
"Dagashi: Japan’s Colorful, Nostalgic, Tasty Treats",Food,https://unseen-japan.com/dagashi-japanese-treats-snacks-candy/,12/20/2025,,
Hiroshima-Style Okonomiyaki: From Adversity to Beloved Staple,Food,https://unseen-japan.com/hiroshima-okonomiyaki-history/,12/19/2025,,
Enmusubi: The Japanese Ritual of Forging Romantic Connections,Travel,https://unseen-japan.com/enmusubi-japan-marriage-destiny/,12/18/2025,,
Hatsumode: Japan's First Shrine Visit of the New Year,Essay,https://unseen-japan.com/hatsumode-shrine-visit-japan/,12/17/2025,,
How Japan Made Christmas Mandarins a Canadian Tradition,Essay,https://unseen-japan.com/japan-mandarins-canada-christmas/,12/16/2025,,
The War of Brides and Babies: Behind Japan’s “Anti-Communist” Mixed-Race Baby Boom,Essay,https://unseen-japan.com/occupation-japan-mixed-children/,12/08/2025,,
Maid Cafes vs. Con Cafes vs. Girls’ Bars: What They Are (and Whether You Can Go),Travel,https://unseen-japan.com/maid-cafes-con-cafes-girls-bars/,12/04/2025,,
Baumkuchen: The German Dessert’s Long Japanese History,Food,https://unseen-japan.com/baumkuchen-japan-history/,11/29/2025,,
"Coffee in Japan: A Short, Tasty History",Food,https://unseen-japan.com/coffee-in-japan-a-short-tasty-history/,11/28/2025,,
Help – My Boyfriend’s an Otaku! Should I Dump Him?,Essay,https://unseen-japan.com/help-my-boyfriends-an-otaku/,11/27/2025,,Yes
Tokyo’s Best Burger? Here Are a Japanese Food Influencer’s Top Six Picks,Food,https://unseen-japan.com/tokyo-best-burger-food-influencer/,11/26/2025,,
Japanese Snacks: Everything From Pocky to Shrimp Crackers,Food,https://unseen-japan.com/japanese-snacks-overview/,11/25/2025,,
Spam Onigiri: How Spam Migrated to Hawaii and Japan,Food,https://unseen-japan.com/spam-onigiri-japan/,11/22/2025,,
How to Ditch Duolingo and Actually Learn Japanese,Japanese,https://unseen-japan.com/learn-japanese-without-duolingo/,11/20/2025,,
Ramen Break Beats: Is Tokyo’s 2000 Yen Ramen Worth It?,Food,https://unseen-japan.com/ramen-break-beats-tokyo-meguro/,11/20/2025,,
The Old Edo Towns of Japan,Travel,https://unseen-japan.com/koedo-old-edo-towns-japan/,11/18/2025,,
Mole Stations: Six Japanese Train Stations That Force You Underground,Travel,https://unseen-japan.com/mole-stations-japan-subway/,11/15/2025,,
The Best Ways to Get Around in Japan,Travel,https://unseen-japan.com/best-way-get-around-japan/,11/14/2025,,
Why “The Crunchyroll of Hentai” Failed to Take Off,Essay,https://unseen-japan.com/hentai-platform-streaming-wars/,11/13/2025,,Yes
Racing into Trouble: The Real-Life “Mario Kart” Saga in Tokyo,Travel,https://unseen-japan.com/mario-kart-tokyo-troubles/,11/12/2025,,
Visit Japan’s Six Most Enchanting Remote Islands,Travel,https://unseen-japan.com/japan-remote-islands-top-6/,11/11/2025,,
Keiunkan: Why You Should Visit Japan’s Oldest Onsen,Travel,https://unseen-japan.com/keiunkan-oldest-onsen/,11/08/2025,,
Miyagi Prefecture: The Top 10 Must-See Travel Spots,Travel,https://unseen-japan.com/miyagi-prefecture-travel-top-10/,11/07/2025,,
The Japanese Who Came to Call Brazil Home,Essay,https://unseen-japan.com/japanese-immigration-to-brazil/,11/06/2025,,
"Japan Snack Bar Tours are Growing (Thanks, Anime)",Travel,https://unseen-japan.com/snack-bar-tours-japan/,11/05/2025,,
Pass the JLPT! How to Study for the JLPT Listening Section,Japanese,https://unseen-japan.com/pass-the-jlpt-how-to-study-for-the-jlpt-listening-section/,11/03/2025,,
Did Japan Nearly Have its Own Prohibition Era?,Essay,https://unseen-japan.com/did-japan-nearly-have-its-own-prohibition-era/,10/31/2025,,
Four Reasons to Hire a Japan Tour Guide,Travel,https://unseen-japan.com/japan-tour-guide-why-hire/,10/30/2025,,
Saboru: The Strange Origins of “Cutting Class” in Japanese,Japanese,https://unseen-japan.com/saboru-the-strange-origins-of-cutting-class-in-japan/,10/29/2025,,
These Are Japan’s Best Onsen Areas For A Winter Getaway,Travel,https://unseen-japan.com/best-onsen-winter-japan/,10/28/2025,,
Check Out Japan’s Five Best-Hidden Travel Cities,Travel,https://unseen-japan.com/five-hidden-travel-spots-japan/,10/25/2025,,
Yabai! Its Meaning and Versatility in Modern Japanese,Japanese,https://unseen-japan.com/yabai-meaning-japanese/,10/24/2025,,
A Guide to High-Protein Eating at 7-Eleven Japan,Food,https://unseen-japan.com/7-11-japan-high-protein-meals/,10/23/2025,,
Benshi: The Voice and Color of Japanese Silent Cinema,Essay,https://unseen-japan.com/benshi-japan-silent-cinema/,10/22/2025,,No
Last-Minute Japan Travel Guide: Stress-Free Planning and Accommodation Tips,Travel,https://unseen-japan.com/last-minute-japan-travel-planning/,10/21/2025,,
More Than a Budget Stay: The Controversy Behind Japan’s APA Hotels,Travel,https://unseen-japan.com/apa-hotels-controversy/,10/18/2025,,
Roast Beef Ramen: Where to Enjoy This Luxurious Bowl in Tokyo,Food,https://unseen-japan.com/roast-beef-ramen-tokyo/,10/17/2025,,
The Myth of Japanese Indirectness and “Subtlety”,Japanese,https://unseen-japan.com/the-myth-of-japanese-indirectness-and-subtlety/,10/16/2025,,
JLPT Exam: Should You Cram for It?,Japanese,https://unseen-japan.com/cram-for-the-jlpt/,10/15/2025,,
Rokuyo: Japan’s Lunar Calendar Tells You When To Marry,Essay,https://unseen-japan.com/rokuyo-lunar-calendar-marriage-days/,10/14/2025,,
Japanese-Brazilians: The Story of Their Return to Japan,Essay,https://unseen-japan.com/japanese-brazilians-homecoming/,10/08/2025,,
Yabusame: The Art and Ritual of Japanese Horseback Archery,Essay,https://unseen-japan.com/yabusame-japanese-horseback-archery/,10/01/2025,,
Port Store: When a Japanese Combini Isn’t a Combini,Essay,https://unseen-japan.com/port-store-tokyo-bay-area/,09/24/2025,,
How Nihon Became Japan: The Etymology of Japan in English,Essay,https://unseen-japan.com/etymology-of-japan/,09/18/2025,,
Platonic Sex: The Wild Ride of Japanese Porn Star Iijima Ai,Essay,https://unseen-japan.com/iijima-ai/,09/12/2025,,
"Pets OK, No Foreigners: The Reality of Housing Discrimination in Japan",Essay,https://unseen-japan.com/housing-discrimination-in-japan/,09/09/2025,,
Furuta Junko: The Horrific Murder That Tested Japan,Essay,https://unseen-japan.com/furuta-junko-horrific-murder/,09/04/2025,,
Enka Music: From Political Protest to Cultural Tradition,Essay,https://unseen-japan.com/enka-music-japan/,08/27/2025,,
Your Anime is Political: Cowboy Bebop & Samurai Champloo,Essay,https://unseen-japan.com/anime-is-political-cowboy-bebop-samurai-champloo/,08/18/2025,,
Yoshoku: Five Great “Western” Foods To Eat in Japan,Essay,https://unseen-japan.com/best-western-food-in-japan-yoshoku/,08/12/2025,,
Zuzu-ben: How Japan’s Northern Dialects Became Shorthand for “Hick”,Essay,https://unseen-japan.com/zuzu-ben-japan-northern-dialects/,08/02/2025,,
The Kinoko Takenoko War: Japan’s Great Snack Battle,Essay,https://unseen-japan.com/kinoko-takenoko-war-meiji/,08/02/2025,,
Colors in Japanese: Not as Black and White as You’d Think,Essay,https://unseen-japan.com/japanese-colors-history/,07/30/2025,,
How Fukuda Kazuko (Nearly) Got Away with Murder,Essay,https://unseen-japan.com/fukuda-kazuko/,07/28/2025,,
When Did Japanese Light Novel Titles Become So Insanely Long?,Essay,https://unseen-japan.com/light-novels-long-titles-when/,07/25/2025,,
The Ultimate Ranking of the Studio Ghibli Universe,Essay,https://unseen-japan.com/the-ultimate-ranking-of-the-studio-ghibli-universe/,07/21/2025,,
Hay Fever in Japan: A Man-Made Nationwide Epidemic,Essay,https://unseen-japan.com/japanese-hay-fever/,06/18/2025,,
Japanese Red Army: End of a Global Reign of Terror,Essay,https://unseen-japan.com/japan-red-army-end/,06/13/2025,,
The Geisha Who Took Down a Prime Minister,Essay,https://unseen-japan.com/geisha-took-down-prime-minister-uno-sosuke/,06/08/2025,,
Is Anime Popular in Japan? Survey says…,Essay,https://unseen-japan.com/is-anime-popular-in-japan/,05/31/2025,,
The Three Cs: The Men Japan Says You Should Avoid Dating,Essay,https://unseen-japan.com/3c-man-womens-dating-rules/ ,05/31/2025,,
"Japan’s Whiteness Problem, Part 1: Colorism",Essay,https://unseen-japan.com/japan-whiteness-1-colorism/,05/09/2025,,
"50 Years Later, Japan’s Most Brazen Robbery Remains a Mystery",Essay,https://unseen-japan.com/300-million-yen-heist-japan/,05/06/2025,,
Haskap: Hokkaido’s Unique and Scrumptious Winter Berry,Food,https://unseen-japan.com/haskap-berry-hokkaido/2/20/2025,,,
Mercenaries of Global Terror: Shigenobu Fusako and the Japanese Red Army,Essay,https://unseen-japan.com/japanese-red-army-global-terror/,,,
Japanese Red Army: Birth of a Homegrown Terror,Essay,https://unseen-japan.com/japanese-red-army/,,,
Sanrizuka: The Battle for Narita Airport,Essay,https://unseen-japan.com/sanrizuka-the-battle-for-narita-airport/,,,
Was The Tsuyama Massacre Japan’s First Proto-Incel Incident?,Essay,https://unseen-japan.com/the-tsuyama-massacre-japans-proto-incel-incident/,,,
Tokugawa Ieyasu: The Hero That Everyone in Japan Hates,Essay,https://unseen-japan.com/tokugawa-ieyasu-hated-in-japan/,,,
Enka Music: From Political Protest to Cultural Tradition,Essay,https://unseen-japan.com/spanish-flu-in-japan-history/ ,,,
Yamamoto Yae: The Warrior Woman Who Never Stopped Serving,Essay,https://unseen-japan.com/yamamoto-yae/,,,
